,Player,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,4s,6s,Dot%,Format,Country,Balls,Outs,HS,50,100,Dot %
0,Hardik Pandya,20.0,110.4,611.0,20.0,5.52,30.6,33.2,0.0,4/24,52.0,18.0,61.4,ODI,India,,,,,,
2,Shreyas Iyer,3.0,4.1,24.0,0.0,5.76,-,-,0.0,0/1,1.0,1.0,44.0,ODI,India,,,,,,
4,Ravindra Jadeja,9.0,60.0,274.0,9.0,4.57,30.4,40.0,0.0,3/37,14.0,4.0,50.8,ODI,India,,,,,,
6,Shardul Thakur,28.0,185.2,1074.0,45.0,5.79,23.9,24.7,0.0,4/37,100.0,28.0,58.1,ODI,India,,,,,,
8,Jasprit Bumrah,6.0,52.2,223.0,14.0,4.26,15.9,22.4,1.0,6/19,19.0,2.0,65.3,ODI,India,,,,,,
10,Mohammed Siraj,25.0,190.4,898.0,46.0,4.71,19.5,24.9,0.0,4/32,113.0,12.0,70.7,ODI,India,,,,,,
12,Kuldeep Yadav,25.0,200.5,1025.0,41.0,5.1,25.0,29.4,1.0,5/25,67.0,35.0,54.7,ODI,India,,,,,,
14,Mohammed Shami,12.0,84.0,446.0,15.0,5.31,29.7,33.6,0.0,3/17,55.0,10.0,68.3,ODI,India,,,,,,
16,Axar Patel,13.0,86.3,417.0,13.0,4.82,32.1,39.9,0.0,3/24,33.0,10.0,53.9,ODI,India,,,,,,
0,Pat Cummins,6.0,47.5,229.0,13.0,4.79,17.6,22.1,0.0,4/35,22.0,4.0,66.6,ODI,Australia,,,,,,
2,Sean Abbott,11.0,83.5,396.0,14.0,4.72,28.3,35.9,0.0,3/23,38.0,6.0,61.0,ODI,Australia,,,,,,
4,Ashton Agar,8.0,64.0,295.0,9.0,4.61,32.8,42.7,0.0,2/31,18.0,7.0,52.9,ODI,Australia,,,,,,
6,Cameron Green,15.0,76.0,382.0,12.0,5.03,31.8,38.0,1.0,5/33,39.0,4.0,55.9,ODI,Australia,,,,,,
8,Josh Hazlewood,16.0,133.3,503.0,23.0,3.77,21.9,34.8,0.0,3/11,56.0,5.0,67.4,ODI,Australia,,,,,,
10,Travis Head,5.0,17.0,122.0,2.0,7.18,61.0,51.0,0.0,2/35,8.0,5.0,36.3,ODI,Australia,,,,,,
12,Glenn Maxwell,10.0,68.0,331.0,9.0,4.87,36.8,45.3,0.0,4/52,24.0,5.0,51.7,ODI,Australia,,,,,,
14,Marcus Stoinis,12.0,52.1,231.0,9.0,4.43,25.7,34.8,0.0,2/20,18.0,2.0,57.2,ODI,Australia,,,,,,
16,Adam Zampa,20.0,164.4,815.0,44.0,4.95,18.5,22.5,1.0,5/35,58.0,19.0,52.8,ODI,Australia,,,,,,
18,Mitchell Starc,14.0,123.2,577.0,35.0,4.68,16.5,21.1,2.0,5/48,54.0,11.0,69.2,ODI,Australia,,,,,,
0,Moeen Ali,20.0,118.4,665.0,16.0,5.6,41.6,44.5,0.0,3/57,46.0,14.0,43.0,ODI,England,,,,,,
2,Gus Atkinson,2.0,12.0,70.0,1.0,5.83,70.0,72.0,0.0,1/23,5.0,1.0,52.8,ODI,England,,,,,,
4,Sam Curran,19.0,137.2,808.0,21.0,5.88,38.5,39.2,1.0,5/48,74.0,13.0,52.1,ODI,England,,,,,,
6,Liam Livingstone,8.0,32.4,192.0,6.0,5.88,32.0,32.7,0.0,2/30,10.0,5.0,42.9,ODI,England,,,,,,
8,Dawid Malan,2.0,2.3,17.0,1.0,6.8,17.0,15.0,0.0,1/5,1.0,1.0,60.0,ODI,England,,,,,,
10,Adil Rashid,20.0,176.0,1055.0,29.0,5.99,36.4,36.4,0.0,4/45,67.0,27.0,43.6,ODI,England,,,,,,
12,Joe Root,2.0,4.1,29.0,0.0,6.96,-,-,0.0,0/4,3.0,0.0,40.0,ODI,England,,,,,,
14,Ben Stokes,8.0,33.0,217.0,4.0,6.58,54.2,49.5,0.0,3/34,20.0,4.0,42.9,ODI,England,,,,,,
16,Reece Topley,13.0,95.1,525.0,19.0,5.52,27.6,30.1,1.0,6/24,63.0,7.0,60.1,ODI,England,,,,,,
18,David Willey,17.0,124.1,651.0,28.0,5.24,23.2,26.6,0.0,4/36,66.0,9.0,60.4,ODI,England,,,,,,
20,Mark Wood,6.0,46.0,211.0,7.0,4.59,30.1,39.4,0.0,3/34,22.0,3.0,63.0,ODI,England,,,,,,
22,Chris Woakes,9.0,77.1,343.0,11.0,4.44,31.2,42.1,0.0,4/18,33.0,6.0,61.8,ODI,England,,,,,,
0,Temba Bavuma,1.0,6.1,22.0,0.0,3.57,-,-,0.0,0/22,3.0,0.0,64.9,ODI,SouthAfrica,,,,,,
2,Gerald Coetzee,3.0,27.0,154.0,7.0,5.7,22.0,23.1,0.0,3/57,16.0,2.0,58.0,ODI,SouthAfrica,,,,,,
4,Marco Jansen,11.0,93.3,564.0,12.0,6.03,47.0,46.8,0.0,2/46,60.0,13.0,61.7,ODI,SouthAfrica,,,,,,
6,Heinrich Klaasen,1.0,2.0,14.0,0.0,7.0,-,-,0.0,0/14,2.0,0.0,41.7,ODI,SouthAfrica,,,,,,
8,Sisanda Magala,6.0,53.0,335.0,14.0,6.32,23.9,22.7,1.0,5/43,29.0,6.0,54.1,ODI,SouthAfrica,,,,,,
10,Keshav Maharaj,20.0,172.0,800.0,23.0,4.65,34.8,44.9,0.0,3/38,47.0,17.0,50.7,ODI,SouthAfrica,,,,,,
12,Aiden Markram,17.0,95.3,536.0,13.0,5.61,41.2,44.1,0.0,2/25,41.0,11.0,47.5,ODI,SouthAfrica,,,,,,
14,Lungi Ngidi,19.0,158.0,939.0,21.0,5.94,44.7,45.1,0.0,4/62,94.0,22.0,55.6,ODI,SouthAfrica,,,,,,
16,Anrich Nortje,14.0,112.0,699.0,22.0,6.24,31.8,30.5,0.0,4/51,80.0,15.0,54.2,ODI,SouthAfrica,,,,,,
18,Kagiso Rabada,16.0,140.5,757.0,24.0,5.38,31.5,35.2,1.0,5/39,85.0,15.0,64.4,ODI,SouthAfrica,,,,,,
20,Tabraiz Shamsi,21.0,179.1,1028.0,35.0,5.74,29.4,30.7,1.0,5/49,75.0,29.0,52.0,ODI,SouthAfrica,,,,,,
22,Rassie van der Dussen,1.0,1.0,3.0,1.0,3.0,3.0,6.0,0.0,1/3,0.0,0.0,50.0,ODI,SouthAfrica,,,,,,
0,Trent Boult,10.0,91.5,373.0,26.0,4.06,14.3,21.2,0.0,4/27,32.0,5.0,71.5,ODI,Newzealand,,,,,,
2,Lockie Ferguson,17.0,148.5,910.0,17.0,6.11,53.5,52.5,0.0,3/59,100.0,19.0,57.6,ODI,Newzealand,,,,,,
4,Matt Henry,22.0,198.0,901.0,36.0,4.55,25.0,33.0,0.0,4/27,99.0,14.0,63.1,ODI,Newzealand,,,,,,
6,Glenn Phillips,8.0,26.0,156.0,5.0,6.0,31.2,31.2,0.0,1/9,11.0,4.0,42.9,ODI,Newzealand,,,,,,
8,Rachin Ravindra,5.0,41.3,273.0,7.0,6.58,39.0,35.6,0.0,3/48,19.0,10.0,41.4,ODI,Newzealand,,,,,,
10,Ish Sodhi,12.0,111.1,585.0,12.0,5.26,48.8,55.6,0.0,2/17,40.0,12.0,48.0,ODI,Newzealand,,,,,,
12,Tim Southee,13.0,109.4,605.0,24.0,5.52,25.2,27.4,0.0,4/22,60.0,19.0,59.0,ODI,Newzealand,,,,,,
0,Rahmat Shah,2.0,2.1,16.0,1.0,7.38,16.0,13.0,0.0,1/6,2.0,0.0,46.2,ODI,Afghanistan,,,,,,
2,Mohammad Nabi,22.0,171.0,744.0,24.0,4.35,31.0,42.8,0.0,4/34,49.0,6.0,52.6,ODI,Afghanistan,,,,,,
4,Azmatullah Omarzai,13.0,71.4,354.0,6.0,4.94,59.0,71.7,0.0,1/17,35.0,1.0,56.7,ODI,Afghanistan,,,,,,
6,Rashid Khan,22.0,203.5,893.0,39.0,4.38,22.9,31.4,0.0,4/29,59.0,8.0,55.4,ODI,Afghanistan,,,,,,
8,Mujeeb ur Rahman,26.0,220.3,991.0,29.0,4.49,34.2,45.6,0.0,3/32,73.0,13.0,59.5,ODI,Afghanistan,,,,,,
10,Noor Ahmad,3.0,21.0,156.0,2.0,7.43,78.0,63.0,0.0,1/54,15.0,2.0,46.0,ODI,Afghanistan,,,,,,
12,Fazalhaq Farooqi,21.0,158.0,880.0,32.0,5.57,27.5,29.6,0.0,4/49,107.0,12.0,64.0,ODI,Afghanistan,,,,,,
14,Abdul Rahman,3.0,17.2,133.0,1.0,7.67,133.0,104.0,0.0,1/83,11.0,1.0,41.3,ODI,Afghanistan,,,,,,
0,Rohit Sharma,40.0,,1080.0,,,27.7,140.4,,,103.0,55.0,,T20I,India,769.0,39.0,74.0,8.0,0.0,41.2
2,Hardik Pandya,43.0,,960.0,,,30.0,136.4,,,74.0,45.0,,T20I,India,704.0,32.0,71.0,3.0,0.0,34.4
4,Shubman Gill,11.0,,304.0,,,30.4,146.9,,,24.0,16.0,,T20I,India,207.0,10.0,126.0,1.0,1.0,36.7
6,Virat Kohli,28.0,,1080.0,,,60.0,136.7,,,91.0,36.0,,T20I,India,790.0,18.0,122.0,12.0,1.0,29.4
8,Shreyas Iyer,23.0,,610.0,,,33.9,139.3,,,54.0,22.0,,T20I,India,438.0,18.0,74.0,5.0,0.0,30.6
10,KL Rahul,27.0,,723.0,,,28.9,128.2,,,55.0,36.0,,T20I,India,564.0,25.0,69.0,10.0,0.0,38.8
