,Series,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Player
0,Asia Cup (2023),2,85,81,1,85.0,104.9,74,1,0,8,5,56.8,Rohit Sharma
1,Australia in India (2023): ODI series,2,43,32,2,21.5,134.4,30,0,0,4,2,40.6,Rohit Sharma
2,England in India (2021): ODI series,3,90,104,3,30.0,86.5,37,0,0,15,0,56.7,Rohit Sharma
3,India in Bangladesh (2022): ODI series,2,78,59,1,78.0,132.2,51,1,0,7,6,59.3,Rohit Sharma
4,India in England (2022): ODI series,3,93,85,2,46.5,109.4,76,1,0,11,5,64.7,Rohit Sharma
5,India in West Indies (2023): ODI series,1,12,19,0,-,63.2,12,0,0,2,0,68.4,Rohit Sharma
6,New Zealand in India (2023): ODI series,3,186,173,3,62.0,107.5,101,1,1,20,10,57.8,Rohit Sharma
7,Sri Lanka in India (2023): ODI series,3,142,137,3,47.3,103.6,83,1,0,13,7,56.9,Rohit Sharma
8,West Indies in India (2022): ODI series,3,78,74,3,26.0,105.4,60,1,0,13,1,59.5,Rohit Sharma
9,Total,22,807,764,18,44.8,105.6,101,6,1,93,36,58.0,Rohit Sharma
10,Asia Cup (2023),1,87,90,1,87.0,96.7,87,1,0,7,1,42.2,Hardik Pandya
11,Australia in India (2023): ODI series,3,66,74,3,22.0,89.2,40,0,0,6,2,52.7,Hardik Pandya
12,England in India (2021): ODI series,3,100,69,3,33.3,144.9,64,1,0,6,8,42.0,Hardik Pandya
13,India in England (2022): ODI series,2,100,99,2,50.0,101.0,71,1,0,12,0,42.4,Hardik Pandya
14,India in Sri Lanka (2021): ODI series,2,19,20,2,9.5,95.0,19,0,0,3,0,55.0,Hardik Pandya
15,India in West Indies (2023): ODI series,3,82,73,2,41.0,112.3,70,1,0,4,5,45.2,Hardik Pandya
16,New Zealand in India (2023): ODI series,2,82,76,2,41.0,107.9,54,1,0,6,3,39.5,Hardik Pandya
17,Sri Lanka in India (2023): ODI series,2,50,65,2,25.0,76.9,36,0,0,4,1,53.8,Hardik Pandya
18,Total,18,586,566,17,34.5,103.5,87,5,0,48,20,45.4,Hardik Pandya
19,Asia Cup (2023),2,77,94,1,77.0,81.9,67,1,0,9,1,53.2,Shubman Gill
20,Australia in India (2023): ODI series,3,57,82,3,19.0,69.5,37,0,0,7,1,64.6,Shubman Gill
21,India in New Zealand (2022): ODI series,3,108,129,2,54.0,83.7,50,1,0,7,4,55.8,Shubman Gill
22,India in West Indies (2022): ODI series,3,205,200,2,102.5,102.5,98,2,0,18,4,44.0,Shubman Gill
23,India in West Indies (2023): ODI series,3,126,157,3,42.0,80.3,85,1,0,17,0,57.3,Shubman Gill
24,India in Zimbabwe (2022): ODI series,3,245,203,2,122.5,120.7,130,1,1,31,2,36.0,Shubman Gill
25,New Zealand in India (2023): ODI series,3,360,280,2,180.0,128.6,208,0,2,38,14,42.9,Shubman Gill
26,South Africa in India (2022): ODI series,3,80,90,3,26.7,88.9,49,0,0,13,0,61.1,Shubman Gill
27,Sri Lanka in India (2023): ODI series,3,207,169,3,69.0,122.5,116,1,1,30,2,40.8,Shubman Gill
28,Total,26,1465,1404,21,69.8,104.3,208,7,4,170,28,47.7,Shubman Gill
29,Asia Cup (2023),1,4,7,1,4.0,57.1,4,0,0,1,0,85.7,Virat Kohli
30,Australia in India (2023): ODI series,3,89,116,3,29.7,76.7,54,1,0,7,1,51.7,Virat Kohli
31,England in India (2021): ODI series,3,129,149,3,43.0,86.6,66,2,0,10,1,41.6,Virat Kohli
32,India in Bangladesh (2022): ODI series,3,127,112,3,42.3,113.4,113,0,1,13,2,36.6,Virat Kohli
33,India in England (2022): ODI series,2,33,47,2,16.5,70.2,17,0,0,6,0,68.1,Virat Kohli
34,India in South Africa (2022): ODI series,3,116,152,3,38.7,76.3,65,2,0,8,0,45.4,Virat Kohli
35,New Zealand in India (2023): ODI series,3,55,46,3,18.3,119.6,36,0,0,6,1,30.4,Virat Kohli
36,Sri Lanka in India (2023): ODI series,3,283,206,2,141.5,137.4,166,0,2,26,9,30.1,Virat Kohli
37,West Indies in India (2022): ODI series,3,26,36,3,8.7,72.2,18,0,0,5,0,69.4,Virat Kohli
38,Total,24,862,871,23,37.5,99.0,166,5,3,82,14,42.6,Virat Kohli
39,Asia Cup (2023),1,14,9,1,14.0,155.6,14,0,0,2,0,33.3,Shreyas Iyer
40,England in India (2021): ODI series,1,6,9,1,6.0,66.7,6,0,0,1,0,66.7,Shreyas Iyer
41,India in Bangladesh (2022): ODI series,3,109,147,3,36.3,74.1,82,1,0,8,3,57.8,Shreyas Iyer
42,India in New Zealand (2022): ODI series,2,129,135,2,64.5,95.6,80,1,0,12,4,51.9,Shreyas Iyer
43,India in South Africa (2022): ODI series,3,54,65,3,18.0,83.1,26,0,0,3,0,32.3,Shreyas Iyer
44,India in West Indies (2022): ODI series,3,161,162,3,53.7,99.4,63,2,0,13,4,45.1,Shreyas Iyer
45,South Africa in India (2022): ODI series,3,191,171,1,191.0,111.7,113,1,1,26,2,46.8,Shreyas Iyer
46,Sri Lanka in India (2023): ODI series,3,94,89,3,31.3,105.6,38,0,0,10,2,43.8,Shreyas Iyer
47,West Indies in India (2022): ODI series,1,80,111,1,80.0,72.1,80,1,0,9,0,58.6,Shreyas Iyer
48,Total,20,838,898,18,46.6,93.3,113,6,1,84,15,49.2,Shreyas Iyer
49,Australia in India (2023): ODI series,3,116,153,2,58.0,75.8,75,1,0,10,2,54.2,KL Rahul
50,England in India (2021): ODI series,3,177,175,2,88.5,101.1,108,1,1,11,6,38.3,KL Rahul
51,India in Bangladesh (2022): ODI series,3,95,108,3,31.7,88.0,73,1,0,6,4,52.8,KL Rahul
52,India in South Africa (2022): ODI series,3,76,106,3,25.3,71.7,55,1,0,6,0,49.1,KL Rahul
